,year,region,licenses,geopoint,x,y,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
162,2015,Al-Jouf,10233,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
163,1997,Al-Jouf,3565,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
164,1998,Al-Jouf,3476,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
165,2002,Al-Jouf,5940,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
166,2006,Al-Jouf,4846,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
167,1993,Makkah,65977,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
168,1995,Makkah,60356,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
169,2001,Makkah,85593,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
170,2016,Madinah,24540,"24.927534539, 39.4918237173",24.927534539,39.4918237173,14475.0,822.0,4184.0
171,2001,Madinah,13561,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
172,2006,Madinah,11204,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
173,2009,Madinah,11574,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
174,2016,Al-Qaseem,9180,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,25664.0,397.0,1513.0
175,2001,Al-Qaseem,14718,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
176,2013,Eastern,123325,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
177,1996,Eastern,8461,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
178,2002,Eastern,85035,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
179,2000,Eastern,65767,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
180,2001,Eastern,74119,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
181,2006,Eastern,79517,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
182,2007,Eastern,106511,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
183,2008,Eastern,104626,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
184,2014,Asir,29552,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
185,2011,Asir,24515,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
186,1999,Asir,14625,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
187,2002,Asir,20417,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
188,2000,Asir,18622,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
189,2006,Asir,20330,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
190,2007,Asir,10835,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
191,2015,Tabouk,915,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
192,1993,Tabouk,3174,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
193,1997,Tabouk,5426,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
194,2002,Tabouk,8794,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
195,2005,Tabouk,6511,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
196,2016,Hail,54507,"27.400845724, 41.4406960508",27.400845724,41.4406960508,10199.0,299.0,932.0
197,1993,Hail,10484,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
198,1996,Hail,10267,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
199,2003,Hail,3861,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
200,2006,Hail,8166,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
201,2003,Northern Boarder,1705,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
202,1995,Jazan,2284,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
203,1998,Jazan,2613,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
204,2003,Jazan,5220,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
205,2004,Jazan,5016,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
206,2017,Najran,13825,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,3193.0,194.0,766.0
207,1993,Najran,3769,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
208,1997,Najran,3073,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
209,2002,Najran,5117,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
210,2005,Najran,4779,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
211,2010,Al-Baha,7076,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
212,2013,Al-Baha,7482,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
213,1997,Al-Baha,3027,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
214,2006,Al-Baha,3593,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
215,2017,Al-Jouf,8091,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,10469.0,240.0,862.0
216,1993,Al-Jouf,2884,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
217,1995,Al-Jouf,2270,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
218,1999,Al-Jouf,3950,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
219,2007,Al-Jouf,9097,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
220,2010,Riyadh,31378,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
221,2003,Riyadh,26076,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
222,2000,Riyadh,45345,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
223,2006,Riyadh,36059,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
224,2008,Riyadh,36798,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
225,2011,Makkah,110647,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
226,2017,Madinah,36165,"24.927534539, 39.4918237173",24.927534539,39.4918237173,16070.0,580.0,2917.0
227,2011,Madinah,14630,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
228,1993,Madinah,4122,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
229,2002,Madinah,10494,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
230,2005,Madinah,10210,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
231,2012,Al-Qaseem,11421,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
232,2004,Al-Qaseem,9390,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
233,2005,Al-Qaseem,10480,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
234,2014,Eastern,121774,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
235,2016,Eastern,142307,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,101619.0,1113.0,4893.0
236,2010,Eastern,110295,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
237,1995,Eastern,7831,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
238,1994,Eastern,10918,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
239,1997,Eastern,58814,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
240,2003,Eastern,82697,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
241,2009,Eastern,108544,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
242,2017,Asir,39133,"19.1387847401, 42.941470036",19.1387847401,42.941470036,25245.0,828.0,2368.0
243,2016,Asir,41367,"19.1387847401, 42.941470036",19.1387847401,42.941470036,32684.0,983.0,2541.0
244,2013,Asir,29730,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
245,2001,Asir,20321,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
246,2005,Asir,18565,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
247,2014,Tabouk,12188,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
248,1995,Tabouk,2051,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
249,2004,Tabouk,7532,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
250,2015,Hail,7172,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
251,2011,Hail,9123,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
252,2012,Hail,11082,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
253,1994,Hail,11131,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
254,1998,Hail,4708,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
255,2000,Hail,3215,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
256,2015,Northern Boarder,3837,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
257,2014,Northern Boarder,5009,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
258,2013,Northern Boarder,3921,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
259,1995,Northern Boarder,1318,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
260,1994,Northern Boarder,1457,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
261,1997,Northern Boarder,1531,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
262,2007,Northern Boarder,3479,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
263,2008,Northern Boarder,3519,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
264,2017,Jazan,18345,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,22161.0,466.0,2207.0
265,2016,Jazan,11504,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,25873.0,514.0,2259.0
266,2012,Jazan,11156,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
267,1996,Jazan,2226,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
268,2002,Jazan,5254,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
269,2006,Jazan,7955,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
270,2015,Riyadh,24548,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
271,2017,Riyadh,495307,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,99925.0,1399.0,4540.0
272,2016,Riyadh,242851,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,141736.0,1430.0,4207.0
273,1998,Riyadh,114962,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
274,2002,Riyadh,25423,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
275,2007,Riyadh,36261,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
276,2004,Riyadh,23479,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
277,2009,Riyadh,38014,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
278,1996,Makkah,46195,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
279,2014,Najran,9601,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
280,2011,Najran,7314,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
281,1994,Najran,3880,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
282,1998,Najran,4322,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
283,2001,Najran,4950,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
284,2004,Najran,4609,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
285,2017,Al-Baha,4131,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,1414.0,134.0,1007.0
286,2004,Al-Baha,3410,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
287,2008,Al-Baha,5418,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
288,2009,Al-Baha,9815,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
289,2016,Al-Jouf,9371,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,10212.0,245.0,920.0
290,2011,Al-Jouf,10180,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
291,2013,Al-Jouf,11602,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
292,2003,Al-Jouf,3852,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
293,2002,Makkah,88593,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
294,2003,Makkah,74236,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
295,2007,Makkah,91902,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
296,2015,Madinah,22744,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
297,1997,Madinah,10495,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
298,2008,Madinah,9194,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
299,2011,Al-Qaseem,10760,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
300,1993,Al-Qaseem,73618,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
301,1997,Al-Qaseem,10092,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
302,1999,Al-Qaseem,9983,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
303,1998,Al-Qaseem,11350,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
304,2002,Al-Qaseem,16298,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
305,2008,Al-Qaseem,22236,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
306,2009,Al-Qaseem,27571,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
307,1993,Eastern,9964,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
308,1999,Eastern,64973,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
309,1998,Eastern,70650,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
310,2004,Eastern,84984,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
311,2005,Eastern,82505,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
312,2010,Asir,21835,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
313,1993,Asir,6226,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
314,1994,Asir,5185,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
315,2004,Asir,17947,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
316,2009,Asir,21582,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
317,2016,Tabouk,13610,"27.90165499, 37.2598581394",27.90165499,37.2598581394,16031.0,434.0,1724.0
318,2012,Tabouk,11391,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
319,1999,Tabouk,5298,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
320,2000,Tabouk,8473,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
321,2006,Tabouk,8259,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
322,2013,Hail,9731,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
323,1997,Hail,6606,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
324,1999,Hail,3139,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
